"court_alias","title","total_rows","min_dt","max_dt"
"arbitr-15aas","15 арбитражный апелляционный суд","2851","2022-10-03","2022-11-22"
"arbitr-16aas","16 арбитражный апелляционный суд","1614","2022-10-03","2022-11-30"
"arbitr-1aas","1 арбитражный апелляционный суд","1832","2022-10-03","2022-12-07"
"arbitr-fasmo","АС Московского округа","5820","2022-10-03","2022-12-15"
"arbitr-fassko","АС Северо-Кавказского округа","2088","2022-10-04","2022-12-15"
"arbitr-fasszo","АС Северо-Западного округа","3100","2022-10-03","2022-12-15"
"arbitr-fasvvo","АС Волго-Вятского округа","1435","2022-10-03","2022-12-08"
"arbitr-sip","Суд по интеллектуальным правам","1058","2022-10-03","2022-11-30"
"arbitr-stav","АС Ставропольского края","14270","2022-10-03","2022-12-15"
"arbitr-vs","Верховный суд РФ","99","2022-10-03","2022-12-07"
"krd-3ap","Третий апелляционный суд общей юрисдикции (Краснодарский край)","507","2022-09-09","2022-11-17"
"krd-4kas","Четвертый кассационный суд общей юрисдикции (Краснодарский край)","12296","2022-09-09","2022-12-15"
"krd-abi","Абинский районный суд (Краснодарский край)","873","2022-09-09","2022-11-24"
"krd-adl","Адлерский районный суд г. Сочи (Краснодарский край)","5326","2022-09-09","2022-12-15"
"krd-ang","Анапский городской суд (Краснодарский край)","2520","2022-09-09","2022-11-29"
"krd-anr","Анапский районный суд (Краснодарский край)","1474","2022-09-09","2022-11-24"
"krd-apsh","Апшеронский районный суд (Краснодарский край)","1040","2022-09-09","2022-11-17"
"krd-arm","Армавирский городской суд (Краснодарский край)","3793","2022-09-09","2022-12-15"
"krd-belog","Белоглинский районный суд (Краснодарский край)","275","2022-09-09","2022-11-14"
"krd-belor","Белореченский районный суд (Краснодарский край)","1522","2022-09-09","2022-12-01"
"krd-brux","Брюховецкий районный суд (Краснодарский край)","598","2022-09-09","2022-11-09"
"krd-din","Динской районный суд (Краснодарский край)","3429","2022-09-09","2022-12-15"
"krd-egs","Ейский городской суд (Краснодарский край)","1740","2022-09-09","2022-11-22"
"krd-ers","Ейский районный суд (Краснодарский край)","582","2022-09-09","2022-11-07"
"krd-gel","Геленджикский городской суд (Краснодарский край)","2691","2022-09-09","2022-12-12"
"krd-gor","Горячеключевской городской суд (Краснодарский край)","1133","2022-09-09","2022-12-05"
"krd-gulk","Гулькевичский районный суд (Краснодарский край)","810","2022-09-09","2022-11-09"
"krd-gvs","Краснодарский гарнизонный военный суд (Краснодарский край)","146","2022-09-09","2022-10-26"
"krd-host","Хостинский районный суд г. Сочи (Краснодарский край)","1449","2022-09-09","2022-12-05"
"krd-kks","Краснодарский краевой суд (Краснодарский край)","12579","2022-09-09","2022-12-14"
"krd-kln","Калининский районный суд (Краснодарский край)","1002","2022-09-09","2022-12-15"
"krd-knv","Каневской районный суд (Краснодарский край)","880","2022-09-09","2022-12-14"
"krd-kra","Красноармейский районный суд (Краснодарский край)","1076","2022-09-09","2022-11-17"
"krd-krl","Крыловской районный суд (Краснодарский край)","531","2022-09-09","2022-11-02"
"krd-krlnn","Ленинский районный суд г. Краснодара (Краснодарский край)","6406","2022-09-09","2022-12-09"
"krd-krn","Кореновский районный суд (Краснодарский край)","1277","2022-09-09","2022-11-30"
"krd-krokt","Октябрьский районный суд г. Краснодара (Краснодарский край)","2964","2022-09-09","2022-12-15"
"krd-krp","Кропоткинский городской суд (Краснодарский край)","1332","2022-09-09","2022-11-28"
"krd-krs","Кавказский районный суд (Краснодарский край)","507","2022-09-09","2022-11-09"
"krd-krymrs","Крымский районный суд (Краснодарский край)","1769","2022-09-09","2022-12-15"
"krd-kurg","Курганинский районный суд (Краснодарский край)","1120","2022-09-09","2022-11-20"
"krd-kusch","Кущевский районный суд (Краснодарский край)","507","2022-09-09","2022-11-22"
"krd-labgs","Лабинский городской суд (Краснодарский край)","892","2022-09-09","2022-11-15"
"krd-labrs","Лабинский районный суд (Краснодарский край)","459","2022-09-09","2022-11-17"
"krd-laz","Лазаревский районный суд г. Сочи (Краснодарский край)","1666","2022-09-09","2022-11-15"
"krd-lngr","Ленинградский районный суд (Краснодарский край)","729","2022-09-09","2022-11-28"
"krd-mst","Мостовской районный суд (Краснодарский край)","893","2022-09-09","2022-11-18"
"krd-ngvs","Новороссийский гарнизонный военный суд (Краснодарский край)","61","2022-09-09","2022-10-25"
"krd-nvk","Новокубанский районный суд (Краснодарский край)","837","2022-09-09","2022-12-12"
"krd-nvpkr","Новопокровский районный суд (Краснодарский край)","506","2022-09-09","2022-11-16"
"krd-nvrlnn","Ленинский районный суд г. Новороссийска (Краснодарский край)","768","2022-09-09","2022-12-01"
"krd-nvrsokt","Октябрьский районный суд г. Новороссийска (Краснодарский край)","2766","2022-09-09","2022-12-06"
"krd-otr","Отрадненский районный суд (Краснодарский край)","512","2022-09-09","2022-11-29"
"krd-pavl","Павловский районный суд (Краснодарский край)","817","2022-09-09","2022-11-17"
"krd-prax","Приморско-Ахтарский районный суд (Краснодарский край)","959","2022-09-09","2022-11-16"
"krd-prim","Приморский районный суд г. Новороссийска (Краснодарский край)","3190","2022-09-09","2022-12-06"
"krd-prkub","Прикубанский районный суд г. Краснодара (Краснодарский край)","10941","2022-09-09","2022-12-15"
"krd-prs","Первомайский районный суд г. Краснодара (Краснодарский край)","4607","2022-09-09","2022-12-14"
"krd-scherb","Щербиновский районный суд (Краснодарский край)","355","2022-09-09","2022-11-17"
"krd-sev","Северский районный суд (Краснодарский край)","2512","2022-09-09","2022-11-28"
"krd-sgs","Славянский городской суд (Краснодарский край)","1169","2022-09-09","2022-12-01"
"krd-sgvs","Сочинский гарнизонный военный суд (Краснодарский край)","6","2022-09-20","2022-10-14"
"krd-sochi","Центральный районный суд г. Сочи (Краснодарский край)","3595","2022-09-09","2022-11-29"
"krd-sov","Советский районный суд г. Краснодара (Краснодарский край)","7214","2022-09-09","2022-12-15"
"krd-srs","Славянский районный суд (Краснодарский край)","804","2022-09-09","2022-12-06"
"krd-star","Староминской районный суд (Краснодарский край)","416","2022-09-09","2022-11-09"
"krd-tbl","Тбилисский районный суд (Краснодарский край)","465","2022-09-09","2022-11-15"
"krd-temr","Темрюкский районный суд (Краснодарский край)","1900","2022-09-09","2022-12-14"
"krd-tihgs","Тихорецкий городской суд (Краснодарский край)","1111","2022-09-09","2022-12-05"
"krd-tihrs","Тихорецкий районный суд (Краснодарский край)","634","2022-09-09","2022-11-18"
"krd-tim","Тимашевский районный суд (Краснодарский край)","1750","2022-09-09","2022-12-06"
"krd-tuags","Туапсинский городской суд (Краснодарский край)","847","2022-09-09","2022-11-14"
"krd-tuars","Туапсинский районный суд (Краснодарский край)","703","2022-09-09","2022-11-14"
"krd-usp","Успенский районный суд (Краснодарский край)","459","2022-09-09","2022-11-11"
"krd-ustl","Усть-Лабинский районный суд (Краснодарский край)","1394","2022-09-09","2022-11-29"
"krd-vis","Выселковский районный суд (Краснодарский край)","1104","2022-09-09","2022-12-13"
"lenob-boks","Бокситогорский городской суд (Ленинградская область)","462","2022-10-03","2022-11-23"
"lenob-gatch","Гатчинский городской суд (Ленинградская область)","2583","2022-10-02","2022-12-15"
"lenob-king","Кингисеппский городской суд (Ленинградская область)","505","2022-10-03","2022-12-13"
"lenob-kirish","Киришский городской суд (Ленинградская область)","736","2022-10-03","2022-12-01"
"lenob-kirov","Кировский городской суд (Ленинградская область)","1662","2022-10-03","2022-12-15"
"lenob-lod","Лодейнопольский городской суд (Ленинградская область)","304","2022-10-03","2022-11-30"
"lenob-lom","Ломоносовский районный суд (Ленинградская область)","1862","2022-10-03","2022-12-15"
"lenob-luzh","Лужский городской суд (Ленинградская область)","950","2022-10-03","2022-11-22"
"lenob-obl","Ленинградский областной суд (Ленинградская область)","2927","2022-09-12","2022-11-30"
"lenob-podp","Подпорожский городской суд (Ленинградская область)","330","2022-10-02","2022-11-21"
"lenob-prio","Приозерский городской суд (Ленинградская область)","712","2022-10-03","2022-11-26"
"lenob-slan","Сланцевский городской суд (Ленинградская область)","555","2022-10-03","2022-11-30"
"lenob-sosn","Сосновоборский городской суд (Ленинградская область)","924","2022-10-03","2022-12-15"
"lenob-tihv1","Тихвинский городской суд (Ленинградская область)","278","2022-10-03","2022-12-01"
"lenob-tihv2","Тихвинский городской суд (Ленинградская область)","438","2022-10-03","2022-11-23"
"lenob-tosn1","Тосненский городской суд (Ленинградская область)","562","2022-10-03","2022-12-12"
"lenob-tosn2","Тосненский городской суд (Ленинградская область)","1555","2022-10-03","2022-12-14"
"lenob-vgvs","Выборгский гарнизонный военный суд (Ленинградская область)","25","2022-10-04","2022-10-27"
"lenob-vol","Волосовский районный суд (Ленинградская область)","529","2022-10-03","2022-11-28"
"lenob-volh","Волховский городской суд (Ленинградская область)","1026","2022-10-02","2022-12-08"
"lenob-vsev","Всеволожский городской суд (Ленинградская область)","7494","2022-10-03","2022-12-15"
"lenob-vyb","Выборгский городской суд (Ленинградская область)","3146","2022-10-01","2022-12-15"
"msc-1ap","Первый апелляционный суд общей юрисдикции (Город Москва)","991","2022-09-09","2022-11-24"
"msc-235gvs","235 гарнизонный военный суд (Город Москва)","191","2022-09-09","2022-11-23"
"msc-2kas","Второй кассационный суд общей юрисдикции (Город Москва)","7735","2022-09-09","2022-12-15"
"msc-2zovs","2-й Западный окружной военный суд (Город Москва)","382","2022-09-09","2022-11-23"
"msc-bbs","Бабушкинский районный суд (Город Москва)","7417","2022-09-09","2022-12-15"
"msc-btr","Бутырский районный суд (Город Москва)","5792","2022-09-09","2022-12-01"
"msc-cher","Черемушкинский районный суд (Город Москва)","10100","2022-09-11","2022-12-14"
"msc-chert","Чертановский районный суд (Город Москва)","6518","2022-09-10","2022-12-08"
"msc-drml","Дорогомиловский районный суд (Город Москва)","8542","2022-09-09","2022-12-12"
"msc-ggr","Гагаринский районный суд (Город Москва)","7272","2022-09-09","2022-11-26"
"msc-glv","Головинский районный суд (Город Москва)","6730","2022-09-09","2022-11-23"
"msc-ham","Хамовнический районный суд (Город Москва)","4524","2022-09-10","2022-11-29"
"msc-hor","Хорошевский районный суд (Город Москва)","12707","2022-09-10","2022-12-06"
"msc-izm","Измайловский районный суд (Город Москва)","10650","2022-09-09","2022-12-07"
"msc-kopt","Коптевский районный суд (Город Москва)","2427","2022-09-09","2022-12-05"
"msc-kunz","Кунцевский районный суд (Город Москва)","9107","2022-09-10","2022-12-13"
"msc-kuzm","Кузьминский районный суд (Город Москва)","11006","2022-09-12","2022-12-15"
"msc-lef","Лефортовский районный суд (Город Москва)","6229","2022-09-10","2022-11-18"
"msc-lyubl","Люблинский районный суд (Город Москва)","8276","2022-09-11","2022-12-12"
"msc-mgs","Московский городской суд (Город Москва)","24170","2022-09-10","2022-12-08"
"msc-mgvs","Московский гарнизонный военный суд (Город Москва)","407","2022-09-09","2022-11-01"
"msc-msch","Мещанский районный суд (Город Москва)","10785","2022-09-11","2022-12-09"
"msc-ngt","Нагатинский районный суд (Город Москва)","9401","2022-09-10","2022-12-01"
"msc-nik","Никулинский районный суд (Город Москва)","7473","2022-09-10","2022-12-12"
"msc-ost","Останкинский районный суд (Город Москва)","5834","2022-09-12","2022-12-15"
"msc-per","Перовский районный суд (Город Москва)","9111","2022-09-10","2022-11-30"
"msc-preob","Преображенский районный суд (Город Москва)","9085","2022-09-12","2022-12-15"
"msc-pres","Пресненский районный суд (Город Москва)","7729","2022-09-10","2022-11-29"
"msc-sav","Савеловский районный суд (Город Москва)","11220","2022-09-12","2022-12-15"
"msc-scherb","Щербинский районный суд (Город Москва)","14767","2022-09-12","2022-12-14"
"msc-sim","Симоновский районный суд (Город Москва)","11085","2022-09-11","2022-12-12"
"msc-soln","Солнцевский районный суд (Город Москва)","4335","2022-09-12","2022-12-05"
"msc-tag","Таганский районный суд (Город Москва)","4049","2022-09-12","2022-12-01"
"msc-tim","Тимирязевский районный суд (Город Москва)","5406","2022-09-10","2022-12-07"
"msc-troi","Троицкий районный суд (Город Москва)","4696","2022-09-12","2022-12-07"
"msc-tush","Тушинский районный суд (Город Москва)","8284","2022-09-12","2022-12-09"
"msc-tver","Тверской районный суд (Город Москва)","8874","2022-09-12","2022-12-05"
"msc-zln","Зеленоградский районный суд (Город Москва)","4553","2022-09-09","2022-11-28"
"msc-zmsk","Замоскворецкий районный суд (Город Москва)","9077","2022-09-09","2022-11-25"
"msc-zyuz","Зюзинский районный суд (Город Москва)","8731","2022-09-09","2022-12-12"
"msk-mir","Мировой суд (Город Москва)","61056","2022-10-03","2022-12-15"
"spb-1zovs","1-й Западный окружной военный суд (Город Санкт-Петербург)","126","2022-09-09","2022-11-24"
"spb-224","224 гарнизонный военный суд (Город Санкт-Петербург)","114","2022-09-09","2022-10-27"
"spb-2ap","Второй апелляционный суд общей юрисдикции (Город Санкт-Петербург)","284","2022-09-09","2022-12-08"
"spb-3kas","Третий кассационный суд общей юрисдикции (Город Санкт-Петербург)","6753","2022-09-09","2022-12-14"
"spb-dzr","Дзержинский районный суд (Город Санкт-Петербург)","2160","2022-09-09","2022-12-15"
"spb-frn","Фрунзенский районный суд (Город Санкт-Петербург)","6894","2022-09-09","2022-12-15"
"spb-gvs","Санкт-Петербургский гарнизонный военный суд (Город Санкт-Петербург)","202","2022-09-09","2022-11-01"
"spb-kbs","Куйбышевский районный суд (Город Санкт-Петербург)","3621","2022-09-09","2022-12-07"
"spb-kgv","Красногвардейский районный суд (Город Санкт-Петербург)","6925","2022-09-09","2022-12-15"
"spb-kln","Калининский районный суд (Город Санкт-Петербург)","8018","2022-09-09","2022-12-08"
"spb-klp","Колпинский районный суд (Город Санкт-Петербург)","3134","2022-09-09","2022-12-08"
"spb-krn","Кронштадтский районный суд (Город Санкт-Петербург)","842","2022-09-09","2022-11-23"
"spb-krv","Кировский районный суд (Город Санкт-Петербург)","6054","2022-09-09","2022-12-13"
"spb-ksl","Красносельский районный суд (Город Санкт-Петербург)","7116","2022-09-09","2022-12-15"
"spb-lnn","Ленинский районный суд (Город Санкт-Петербург)","2164","2022-09-09","2022-12-05"
"spb-mir","Мировой суд (Город Санкт-Петербург)","27370","2022-10-01","2022-10-18"
"spb-msk","Московский районный суд города Санкт-Петербурга (Город Санкт-Петербург)","6553","2022-09-09","2022-12-15"
"spb-nvs","Невский районный суд (Город Санкт-Петербург)","8572","2022-09-09","2022-12-15"
"spb-okt","Октябрьский районный суд (Город Санкт-Петербург)","3330","2022-09-09","2022-12-12"
"spb-pdv","Петродворцовый районный суд (Город Санкт-Петербург)","2513","2022-09-09","2022-12-06"
"spb-pgr","Петроградский районный суд (Город Санкт-Петербург)","4433","2022-09-09","2022-12-05"
"spb-prm","Приморский районный суд (Город Санкт-Петербург)","10206","2022-09-09","2022-12-15"
"spb-psh","Пушкинский районный суд (Город Санкт-Петербург)","4242","2022-09-09","2022-12-15"
"spb-sml","Смольнинский районный суд (Город Санкт-Петербург)","4356","2022-09-09","2022-12-13"
"spb-spb","Санкт-Петербургский городской суд (Город Санкт-Петербург)","10807","2022-09-09","2022-12-15"
"spb-srt","Сестрорецкий районный суд (Город Санкт-Петербург)","1013","2022-09-12","2022-12-14"
"spb-vbr","Выборгский районный суд (Город Санкт-Петербург)","10144","2022-09-09","2022-12-15"
"spb-vos","Василеостровский районный суд (Город Санкт-Петербург)","5844","2022-09-09","2022-12-13"
"spb-zgr","Зеленогорский районный суд (Город Санкт-Петербург)","418","2022-09-09","2022-12-05"
"stav-5g","Пятигорский городской суд (Ставропольский край)","2680","2022-09-09","2022-12-06"
"stav-5kas","Пятый кассационный суд общей юрисдикции (Ставропольский край)","3274","2022-09-09","2022-12-15"
"stav-aleks","Александровский районный суд (Ставропольский край)","496","2022-09-09","2022-11-03"
"stav-andr","Андроповский районный суд (Ставропольский край)","390","2022-09-12","2022-11-10"
"stav-apan","Апанасенковский районный суд (Ставропольский край)","272","2022-09-09","2022-11-15"
"stav-arzg","Арзгирский районный суд (Ставропольский край)","174","2022-09-09","2022-11-11"
"stav-bgvs","Буденновский гарнизонный военный суд (Ставропольский край)","47","2022-09-13","2022-10-25"
"stav-blag","Благодарненский районный суд (Ставропольский край)","458","2022-09-09","2022-11-15"
"stav-bude","Буденновский городской суд (Ставропольский край)","1309","2022-09-09","2022-11-10"
"stav-ess","Ессентукский городской суд (Ставропольский край)","1300","2022-09-09","2022-11-25"
"stav-geor","Георгиевский городской суд (Ставропольский край)","2899","2022-09-09","2022-11-22"
"stav-grach","Грачевский районный суд (Ставропольский край)","530","2022-09-09","2022-11-02"
"stav-ipat","Ипатовский районный суд (Ставропольский край)","726","2022-09-09","2022-11-24"
"stav-izob","Изобильненский районный суд (Ставропольский край)","1232","2022-09-09","2022-11-09"
"stav-kir","Кировский районный суд (Ставропольский край)","595","2022-09-09","2022-11-21"
"stav-kisl","Кисловодский городской суд (Ставропольский край)","1555","2022-09-09","2022-11-10"
"stav-koch","Кочубеевский районный суд (Ставропольский край)","1180","2022-09-09","2022-11-16"
"stav-kr1","Ставропольский краевой суд (Ставропольский край)","1177","2022-09-09","2022-11-11"
"stav-kr2","Ставропольский краевой суд (Ставропольский край)","156","2022-09-12","2022-11-02"
"stav-kr3","Ставропольский краевой суд (Ставропольский край)","2215","2022-09-09","2022-11-24"
"stav-kr4","Ставропольский краевой суд (Ставропольский край)","761","2022-09-09","2022-11-17"
"stav-krasn","Красногвардейский районный суд (Ставропольский край)","240","2022-09-09","2022-11-14"
"stav-kursk","Курский районный суд (Ставропольский край)","354","2022-09-09","2022-11-09"
"stav-lerm","Лермонтовский городской суд (Ставропольский край)","286","2022-09-09","2022-11-15"
"stav-levo","Левокумский районный суд (Ставропольский край)","282","2022-09-09","2022-11-02"
"stav-lnn","Ленинский районный суд г. Ставрополя (Ставропольский край)","2487","2022-09-09","2022-12-07"
"stav-min","Минераловодский городской суд (Ставропольский край)","2390","2022-09-09","2022-11-30"
"stav-mir","Мировой суд (Город Ставрополь)","305","2022-10-02","2022-10-18"
"stav-neft","Нефтекумский районный суд (Ставропольский край)","589","2022-09-09","2022-11-09"
"stav-nev","Невинномысский городской суд (Ставропольский край)","1533","2022-09-09","2022-11-21"
"stav-novoa","Новоалександровский районный суд (Ставропольский край)","397","2022-09-09","2022-11-10"
"stav-novos","Новоселицкий районный суд (Ставропольский край)","273","2022-09-09","2022-11-08"
"stav-okt","Октябрьский районный суд г. Ставрополя (Ставропольский край)","2272","2022-09-09","2022-11-28"
"stav-petr","Петровский районный суд (Ставропольский край)","624","2022-09-09","2022-11-14"
"stav-pgvs","Пятигорский гарнизонный военный суд (Ставропольский край)","103","2022-09-09","2022-10-24"
"stav-predg","Предгорный районный суд (Ставропольский край)","1553","2022-09-09","2022-11-15"
"stav-prom","Промышленный районный суд г. Ставрополя (Ставропольский край)","3771","2022-09-09","2022-12-12"
"stav-sgvs","Ставропольский гарнизонный военный суд (Ставропольский край)","111","2022-09-09","2022-10-25"
"stav-shp","Шпаковский районный суд (Ставропольский край)","1652","2022-09-09","2022-11-09"
"stav-sov","Советский районный суд (Ставропольский край)","796","2022-09-09","2022-11-25"
"stav-step","Степновский районный суд (Ставропольский край)","115","2022-09-09","2022-11-01"
"stav-trun","Труновский районный суд (Ставропольский край)","385","2022-09-09","2022-11-25"
"stav-turk","Туркменский районный суд (Ставропольский край)","324","2022-09-09","2022-11-02"
"stav-zhel","Железноводский городской суд (Ставропольский край)","534","2022-09-09","2022-11-18"
